type	ts	dur	durz	F0	F0z	F1	F1z	F2	F2z	F3	F3z	dF0	dF0z	dF1	dF1z	dF2	dF2z	dF3	dF3z	dqF0	dqF0z	dqF1	dqF1z	dqF2	dqF2z	dqF3	dqF3z	sdF0	sdF0z	sdF1	sdF1z	sdF2	sdF2z	sdF3	sdF3z	score
?	18.354	0.152	-0.276	12.861	0.005	4.503	-0.659	13.514	1.294	15.978	0.352	-0.531	-0.005	0.967	-0.623	1.454	0.633	0.675	-0.189	1.079	-0.448	0.588	-0.841	0.970	-0.717	3.072	0.549	0.454	-0.419	0.210	-0.846	0.309	-0.733	1.093	0.704	3.017
fp	18.722	0.184	0.018	11.903	-0.384	7.476	1.400	10.633	-1.337	16.744	1.223	0.427	0.384	1.904	0.853	1.247	0.282	0.576	-0.351	10.445	1.889	1.184	-0.519	1.076	-0.658	1.253	-0.630	4.373	1.973	0.366	-0.578	0.355	-0.659	0.479	-0.489	4.652
fp	19.106	0.384	1.856	11.882	-0.392	7.332	1.301	10.940	-1.057	16.434	0.871	0.448	0.392	2.155	1.247	1.136	0.092	1.019	0.377	1.107	-0.441	2.705	0.305	2.237	-0.002	4.003	1.153	0.352	-0.482	0.873	0.287	0.771	0.010	1.298	1.105	4.908
?	19.610	0.112	-0.644	11.871	-0.397	8.525	2.127	12.664	0.518	15.628	-0.046	0.459	0.397	3.126	2.775	0.905	-0.301	1.516	1.194	0.199	-0.667	0.731	-0.764	3.492	0.706	4.646	1.570	0.334	-0.493	0.199	-0.864	1.122	0.576	1.787	2.057	3.173
fp	19.731	0.351	1.552	10.591	-0.917	6.567	0.771	12.569	0.431	15.945	0.315	1.740	0.917	1.461	0.155	0.743	-0.576	1.010	0.363	2.254	-0.155	4.486	1.269	2.986	0.421	4.493	1.470	0.805	-0.205	1.489	1.341	1.050	0.460	1.359	1.222	4.195
fp	20.234	0.272	0.825	-0.998	-5.620	4.526	-0.643	12.903	0.736	16.390	0.821	13.329	5.620	1.172	-0.300	1.000	-0.140	0.542	-0.407	12.026	2.283	2.649	0.274	0.992	-0.705	0.998	-0.795	4.928	2.312	1.494	1.349	0.653	-0.179	0.330	-0.780	5.087
fp	21.450	0.520	3.106	11.156	-0.687	7.668	1.533	11.023	-0.982	16.027	0.409	1.175	0.687	2.248	1.393	0.966	-0.198	0.917	0.209	0.987	-0.471	0.878	-0.684	0.468	-1.001	5.344	2.022	0.280	-0.525	0.242	-0.790	0.136	-1.013	1.512	1.522	6.306
?	22.250	0.096	-0.791	14.794	0.789	4.436	-0.706	13.521	1.301	16.350	0.775	-2.464	-0.789	0.973	-0.612	1.600	0.882	0.427	-0.596	0.760	-0.527	1.312	-0.449	1.148	-0.617	0.470	-1.138	0.322	-0.500	0.359	-0.591	0.375	-0.627	0.136	-1.157	2.340
?	22.434	0.151	-0.282	17.084	1.718	6.483	0.712	11.110	-0.902	14.739	-1.055	-4.753	-1.718	0.997	-0.574	0.770	-0.530	1.417	1.032	6.539	0.914	1.267	-0.474	1.317	-0.522	4.040	1.177	2.666	0.931	0.428	-0.472	0.443	-0.518	1.167	0.850	3.056
?	22.586	0.081	-0.931	16.728	1.574	5.358	-0.067	12.395	0.272	16.319	0.740	-4.398	-1.574	0.273	-1.714	0.674	-0.694	0.952	0.266	1.819	-0.263	1.295	-0.459	2.673	0.244	4.833	1.691	0.815	-0.199	0.374	-0.564	0.840	0.122	1.382	1.268	2.369
?	22.810	0.072	-1.011	13.506	0.267	3.662	-1.242	13.130	0.944	16.185	0.588	-1.176	-0.267	1.792	0.676	1.031	-0.086	0.571	-0.359	2.457	-0.104	1.135	-0.545	1.267	-0.549	2.050	-0.113	0.958	-0.112	0.324	-0.650	0.417	-0.560	0.693	-0.072	2.296
?	22.883	0.296	1.045	12.386	-0.188	4.160	-0.897	12.557	0.420	16.001	0.378	-0.055	0.188	1.594	0.365	0.725	-0.607	0.491	-0.491	0.355	-0.628	6.159	2.175	1.894	-0.196	2.099	-0.082	0.155	-0.601	2.152	2.473	0.802	0.059	0.644	-0.169	3.395
?	23.338	0.192	0.092	15.995	1.277	4.642	-0.563	8.846	-2.970	16.131	0.527	-3.665	-1.277	0.933	-0.676	3.147	3.516	0.456	-0.549	11.181	2.073	1.505	-0.345	1.367	-0.493	1.933	-0.189	4.312	1.935	0.515	-0.323	0.458	-0.494	0.590	-0.274	3.183
?	24.026	0.216	0.312	14.168	0.535	3.711	-1.208	13.930	1.675	15.307	-0.410	-1.838	-0.535	1.795	0.680	1.823	1.262	0.964	0.287	0.643	-0.557	0.790	-0.732	4.331	1.180	3.710	0.963	0.234	-0.553	0.250	-0.777	1.399	1.021	1.070	0.660	1.738
?	24.278	0.084	-0.902	14.520	0.678	4.195	-0.873	11.583	-0.469	14.988	-0.773	-2.190	-0.678	1.172	-0.300	1.048	-0.057	0.855	0.108	1.558	-0.328	0.890	-0.678	3.145	0.511	0.898	-0.860	0.823	-0.194	0.374	-0.565	1.191	0.687	0.298	-0.843	1.713
?	24.442	0.120	-0.570	13.700	0.345	4.346	-0.768	14.124	1.852	16.292	0.709	-1.370	-0.345	1.266	-0.152	2.207	1.915	0.771	-0.030	0.426	-0.611	0.895	-0.675	6.196	2.233	3.195	0.629	0.164	-0.596	0.342	-0.620	2.338	2.533	0.975	0.476	1.035
?	24.802	0.224	0.386	13.226	0.153	4.177	-0.885	11.704	-0.359	15.426	-0.275	-0.895	-0.153	1.301	-0.096	0.771	-0.529	0.644	-0.239	0.816	-0.513	0.428	-0.928	2.829	0.332	2.743	0.336	0.289	-0.520	0.160	-0.930	0.936	0.275	0.662	-0.134	3.191
fp	25.130	0.112	-0.644	12.955	0.043	4.761	-0.480	11.967	-0.119	16.111	0.504	-0.625	-0.043	0.804	-0.878	0.125	-1.628	0.159	-1.037	3.474	0.150	1.427	-0.387	0.500	-0.983	0.330	-1.228	1.111	-0.018	0.424	-0.479	0.149	-0.992	0.108	-1.211	4.011
?	25.346	0.216	0.312	11.451	-0.567	5.076	-0.262	12.318	0.201	13.981	-1.916	0.879	0.567	0.558	-1.266	0.591	-0.835	1.593	1.321	18.074	3.792	1.291	-0.461	1.661	-0.327	2.018	-0.134	7.616	3.952	0.361	-0.586	0.566	-0.320	0.687	-0.085	3.328
?	25.866	0.064	-1.085	12.079	-0.312	4.663	-0.548	12.729	0.577	15.692	0.028	0.251	0.312	0.797	-0.889	0.790	-0.497	0.300	-0.805	2.158	-0.179	1.034	-0.600	0.356	-1.064	0.966	-0.816	0.712	-0.262	0.378	-0.558	0.107	-1.058	0.269	-0.898	3.090
fp	26.010	0.104	-0.717	12.513	-0.137	4.852	-0.417	12.193	0.088	16.148	0.546	-0.182	0.137	0.799	-0.887	0.261	-1.398	0.199	-0.971	2.128	-0.186	2.363	0.119	0.705	-0.867	0.481	-1.131	0.681	-0.281	0.801	0.165	0.206	-0.900	0.143	-1.144	3.692
fp	26.186	0.560	3.473	14.009	0.471	4.309	-0.794	11.960	-0.125	14.772	-1.018	-1.679	-0.471	1.323	-0.062	0.775	-0.523	1.370	0.954	5.055	0.544	3.569	0.773	2.692	0.255	4.084	1.206	1.817	0.413	1.510	1.376	1.047	0.455	1.424	1.350	3.828
?	26.794	0.072	-1.011	11.711	-0.462	5.985	0.368	11.378	-0.657	15.441	-0.258	0.619	0.462	0.686	-1.064	0.574	-0.864	0.445	-0.566	0.088	-0.695	1.890	-0.136	1.189	-0.594	0.765	-0.946	0.059	-0.661	0.613	-0.157	0.425	-0.547	0.259	-0.917	3.272
?	26.978	0.056	-1.158	11.660	-0.483	4.719	-0.510	13.044	0.865	16.131	0.527	0.671	0.483	0.737	-0.984	0.971	-0.189	0.205	-0.961	0.724	-0.536	1.502	-0.346	0.619	-0.916	0.448	-1.152	0.259	-0.538	0.503	-0.345	0.249	-0.831	0.146	-1.137	2.806
fp	27.130	0.152	-0.276	11.477	-0.557	8.191	1.896	10.797	-1.188	15.919	0.285	0.853	0.557	2.600	1.948	1.144	0.106	0.154	-1.045	16.528	3.407	1.564	-0.313	0.909	-0.752	0.594	-1.057	6.890	3.509	0.497	-0.355	0.309	-0.734	0.184	-1.064	4.410
fp	27.338	0.072	-1.011	12.134	-0.290	5.986	0.368	12.834	0.674	16.116	0.510	0.196	0.290	0.846	-0.813	0.876	-0.351	0.236	-0.911	0.407	-0.615	1.726	-0.225	0.151	-1.180	0.229	-1.294	0.175	-0.590	0.543	-0.276	0.055	-1.143	0.079	-1.268	3.580
?	27.570	0.173	-0.086	11.343	-0.611	3.969	-1.029	11.653	-0.406	15.341	-0.372	0.987	0.611	1.526	0.257	2.057	1.660	0.617	-0.284	1.259	-0.403	0.657	-0.804	5.815	2.018	1.725	-0.324	0.467	-0.411	0.220	-0.828	2.252	2.395	0.643	-0.170	1.870
?	27.743	0.139	-0.393	13.124	0.111	3.413	-1.414	12.083	-0.013	16.394	0.825	-0.794	-0.111	2.031	1.053	0.921	-0.274	0.915	0.207	1.110	-0.440	1.724	-0.227	3.703	0.826	3.233	0.654	0.358	-0.478	0.510	-0.333	1.239	0.764	1.045	0.613	2.407
?	27.954	0.072	-1.011	10.615	-0.907	4.008	-1.002	12.843	0.681	16.134	0.530	1.715	0.907	1.437	0.118	0.886	-0.333	0.166	-1.026	0.736	-0.533	3.088	0.512	0.331	-1.078	0.322	-1.234	0.387	-0.460	0.835	0.224	0.105	-1.062	0.104	-1.219	3.154
?	28.162	0.168	-0.129	10.830	-0.819	6.002	0.379	11.630	-0.427	12.878	-3.170	1.500	0.819	1.000	-0.570	0.726	-0.605	3.199	3.962	0.628	-0.560	2.969	0.448	2.838	0.337	2.203	-0.014	0.248	-0.545	1.028	0.553	0.867	0.164	0.960	0.447	2.652
?	28.850	0.224	0.386	14.134	0.521	3.612	-1.277	13.307	1.105	15.985	0.361	-1.803	-0.521	1.809	0.703	2.619	2.616	0.489	-0.494	1.346	-0.381	0.953	-0.644	6.572	2.446	2.093	-0.085	0.398	-0.453	0.396	-0.527	2.948	3.516	0.692	-0.075	1.104
fp	29.266	0.284	0.933	12.968	0.048	4.153	-0.902	12.213	0.106	15.263	-0.460	-0.638	-0.048	1.338	-0.038	0.503	-0.985	0.670	-0.196	1.424	-0.362	0.541	-0.867	1.730	-0.288	1.430	-0.515	0.460	-0.416	0.191	-0.877	0.560	-0.330	0.406	-0.632	3.769
?	29.550	0.124	-0.529	14.442	0.647	4.085	-0.949	12.637	0.493	15.709	0.048	-2.112	-0.647	1.336	-0.042	0.839	-0.413	0.354	-0.716	3.324	0.112	1.647	-0.268	2.184	-0.032	1.202	-0.663	1.298	0.096	0.598	-0.181	0.823	0.094	0.346	-0.749	2.293
fp	29.834	0.368	1.709	12.258	-0.240	7.013	1.079	12.177	0.073	17.054	1.575	0.072	0.240	2.780	2.231	0.862	-0.374	1.116	0.536	2.736	-0.034	8.703	3.552	3.106	0.489	1.729	-0.321	0.975	-0.101	2.974	3.877	1.012	0.399	1.131	0.778	4.343
